split,device_id,n_train,n_test,R2_test,RMSE_test
time_70_30_overall,ALL,10731,4604,0.04727401377647744,0.5842612624686777
time_70_30,352944080639365,1592,683,-0.026066296835113745,0.6161936218872136
time_70_30,358057080902248,3748,1607,0.026723930650781713,0.5120560288570398
time_70_30,866558034754119,242,105,-0.8959989645291904,0.9122119542531579
time_70_30,866817034014258,3726,1598,0.03779023555389405,0.6060500715520566
time_70_30,867194030192184,1423,611,-0.01214310850965905,0.5954330172054276
