name,beta,se,t,p
const,-3.171796377432062,0.017151477523836178,-184.92846304489362,0.0
scr,0.3201346269931212,0.2474054143448343,1.2939677486076224,0.19569539143750772
net_wifi,0.1875043602106491,0.014902499582487055,12.582074515271135,3.941718038033238e-36
net_mobile,0.036417230414789614,0.023325166687817134,1.5612848946460278,0.11847648566345755
T0,0.0581351235938839,0.004112799459541909,14.135170986518046,4.3287958580086576e-45
dev_358057080902248,0.01334229361532846,0.02157741019646609,0.6183454591558739,0.5363565159980717
dev_866558034754119,0.6006201882075441,0.03936919152772407,15.256096579595317,3.516766699366536e-52
dev_866817034014258,0.15734405414911629,0.022456303219801327,7.00667659360668,2.538579228331151e-12
dev_867194030192184,-0.27769586025617266,0.023937080981261287,-11.601074520053713,5.427218952734886e-31
scr_x_wifi,-0.2985056569761702,0.2934976374606808,-1.017063236211434,0.30913885264983626
scr_x_mob,0.618640283969309,0.15931003143291833,3.8832475168382836,0.00010348827490247909
scr_x_T0,0.1115682669172432,0.0790161195357645,1.4119684385000058,0.1579788613128549
wifi_x_T0,0.008727377618859595,0.0048313854240674674,1.8063923394280048,0.07087601277928046
mob_x_T0,0.03471132446827091,0.006819604741734081,5.089932009673123,3.622861381607159e-07
